"key","scientificName","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","continent","lastInterpreted","license","identifiers","facts","relations","class","countryCode","country","rightsHolder","identifier","catalogNumber","recordedBy","institutionID","nomenclaturalCode","locality","gbifID","collectionCode","occurrenceID","higherClassification","name","decimalLatitude","decimalLongitude","geodeticDatum","recordNumber","higherGeography","dynamicProperties","fieldNumber","otherCatalogNumbers","institutionCode","elevation","stateProvince","year","month","day","eventDate","identifiedBy","georeferenceProtocol","typeStatus","individualCount","endDayOfYear","datasetName","type","startDayOfYear","verbatimEventDate","modified","references","language","preparations","collectionID","elevationAccuracy","georeferencedDate","verbatimElevation","georeferenceSources","habitat","coordinateUncertaintyInMeters","dateIdentified","county","fieldNotes","occurrenceRemarks","municipality","ownerInstitutionCode","organismID","datasetID","accessRights","nomenclaturalStatus","taxonID","bibliographicCitation","identificationRemarks"
"2288992501","Asplenium triquetrum N.Murak. & R.C.Moran","","15f819bd-6612-4447-854b-14d12ee1022d","396d5f30-dea9-11db-8ab4-b8a03c50a862","65eb93af-41b8-4917-a5fc-cfe2a45aa4bf","NL","DWC_ARCHIVE","2019-08-27T19:01:34.516+0000","2019-10-01T19:51:17.147+0000",118,"none","PRESERVED_SPECIMEN",4256142,6,7707728,7228684,392,6625,7310868,7784242,7784242,"Hymenasplenium triquetrum (N.Murak. & R.C.Moran) L.Regalado & Prada","Plantae","Tracheophyta","Polypodiales","Aspleniaceae","Hymenasplenium","Hymenasplenium triquetrum","Asplenium","triquetrum","SPECIES","SYNONYM","SOUTH_AMERICA","2019-10-01T19:51:17.147+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","Polypodiopsida","BR","Brazil","Naturalis Biodiversity Center","L.3508113@BRAHMS","L.3508113","Unreadable","Naturalis Biodiversity Center","ICN","Sierra Eftrella by ra Lapider rivulorum.","2288992501","Botany","http://data.biodiversitydata.nl/naturalis/specimen/L.3508113","Plantae|Pteropsida|Polypodiales|Aspleniaceae","Asplenium triquetrum N.Murak. & R.C.Moran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1057283677","Asplenium triquetrum N.Murak. & R.C.Moran","gass84,mdativ","7e380070-f762-11e1-a439-00145eb45e9a","19456090-b49a-11d8-abeb-b8a03c50a862","60277b56-f762-11e1-a439-00145eb45e9a","GB","DWC_ARCHIVE","2019-08-27T22:10:31.195+0000","2019-10-02T04:32:36.256+0000",137,"none","PRESERVED_SPECIMEN",4256142,6,7707728,7228684,392,6625,7310868,7784242,7784242,"Hymenasplenium triquetrum (N.Murak. & R.C.Moran) L.Regalado & Prada","Plantae","Tracheophyta","Polypodiales","Aspleniaceae","Hymenasplenium","Hymenasplenium triquetrum","Asplenium","triquetrum","SPECIES","SYNONYM","SOUTH_AMERICA","2019-10-02T04:32:36.256+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","Polypodiopsida","BO","Bolivia, Plurinational State of",NA,"561466","BM000865275","Ivan Jimenez",NA,NA,NA,"1057283677","BOT","75ecce84-7709-4302-abc7-7cd5f555981e","Aspleniaceae","Asplenium triquetrum N.Murak. & R.C.Moran",-16.714611,-64.670931,"WGS84","2502","South America; Bolivia","{\"determinationfiledas\": \"Yes\", \"collectionkind\": \"Packet\", \"gbifissue\": [\"GEODETIC_DATUM_ASSUMED_WGS84\"], \"created\": 1259942488000, \"gbifid\": 1057283677, \"determinationnames\": \"Asplenium triquetrum N.Murak. & R.C.Moran\", \"subdepartment\": \"Molecular Lab\"}","2502","NHMUK:ecatalogue:561466","NHMUK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1057517849","Asplenium triquetrum N.Murak. & R.C.Moran","cdround,gass84,mdativ","7e380070-f762-11e1-a439-00145eb45e9a","19456090-b49a-11d8-abeb-b8a03c50a862","60277b56-f762-11e1-a439-00145eb45e9a","GB","DWC_ARCHIVE","2019-08-27T22:10:31.195+0000","2019-10-02T04:32:35.799+0000",137,"none","PRESERVED_SPECIMEN",4256142,6,7707728,7228684,392,6625,7310868,7784242,7784242,"Hymenasplenium triquetrum (N.Murak. & R.C.Moran) L.Regalado & Prada","Plantae","Tracheophyta","Polypodiales","Aspleniaceae","Hymenasplenium","Hymenasplenium triquetrum","Asplenium","triquetrum","SPECIES","SYNONYM","SOUTH_AMERICA","2019-10-02T04:32:35.799+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","Polypodiopsida","BR","Brazil",NA,"2363120","BM001031979","Maarten J.M. Christenhusz, Samuli Lehtonen, Jefferson Prado & Hanna Tuomisto",NA,NA,NA,"1057517849","BOT","131cb9f4-c2d3-4ac9-92f7-0f9c2b9cb39e","Aspleniaceae","Asplenium triquetrum N.Murak. & R.C.Moran",-23.333333,-44.833333,"WGS84","4922","South America; Brazil; São Paulo; Ubatuba","{\"determinationfiledas\": \"Yes\", \"collectionkind\": \"Sheet\", \"gbifissue\": [\"COORDINATE_ROUNDED\", \"GEODETIC_DATUM_ASSUMED_WGS84\"], \"expedition\": \"Expedição Científica CNPq Proc. EXC n° 030/07-CR\", \"created\": 1331208884000, \"gbifid\": 1057517849, \"determinationnames\": \"Asplenium triquetrum N.Murak. & R.C.Moran\", \"subdepartment\": \"Ferns\"}","4922","NHMUK:ecatalogue:2363120","NHMUK",125,"São Paulo",2008,3,6,"2008-03-06T00:00:00","E. Jefferson Prado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1057396623","Asplenium triquetrum N.Murak. & R.C.Moran","gass84,mdativ","7e380070-f762-11e1-a439-00145eb45e9a","19456090-b49a-11d8-abeb-b8a03c50a862","60277b56-f762-11e1-a439-00145eb45e9a","GB","DWC_ARCHIVE","2019-08-27T22:10:31.195+0000","2019-10-02T04:32:27.366+0000",137,"none","PRESERVED_SPECIMEN",4256142,6,7707728,7228684,392,6625,7310868,7784242,7784242,"Hymenasplenium triquetrum (N.Murak. & R.C.Moran) L.Regalado & Prada","Plantae","Tracheophyta","Polypodiales","Aspleniaceae","Hymenasplenium","Hymenasplenium triquetrum","Asplenium","triquetrum","SPECIES","SYNONYM","SOUTH_AMERICA","2019-10-02T04:32:27.366+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","Polypodiopsida","BR","Brazil",NA,"2205247","BM001027139","Per Karl Hjalmar Dusén",NA,NA,"Ipiranga (Ypiranga)","1057396623","BOT","ef2baa08-ded9-44f4-b749-ca38e442ad69","Aspleniaceae","Asplenium triquetrum N.Murak. & R.C.Moran",-25.021592,-50.590131,"WGS84","s.n.","South America; Brazil; Paraná","{\"determinationfiledas\": [\"Yes\", \"No\"], \"collectionkind\": \"Sheet\", \"gbifissue\": [\"GEODETIC_DATUM_ASSUMED_WGS84\"], \"created\": 1308835329000, \"gbifid\": 1057396623, \"determinationnames\": [\"Asplenium triquetrum N.Murak. & R.C.Moran\", \"Asplenium obtusifolium L.\"], \"subdepartment\": \"Ferns\"}","s.n.","NHMUK:ecatalogue:2205247","NHMUK",700,"Paraná",1904,NA,NA,"1904-01-01T00:00:00","Lana Sylvestre","Google Earth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1056036995","Asplenium triquetrum N.Murak. & R.C.Moran","gass84,mdativ","7e380070-f762-11e1-a439-00145eb45e9a","19456090-b49a-11d8-abeb-b8a03c50a862","60277b56-f762-11e1-a439-00145eb45e9a","GB","DWC_ARCHIVE","2019-08-27T22:10:31.195+0000","2019-10-02T04:32:13.278+0000",137,"none","PRESERVED_SPECIMEN",4256142,6,7707728,7228684,392,6625,7310868,7784242,7784242,"Hymenasplenium triquetrum (N.Murak. & R.C.Moran) L.Regalado & Prada","Plantae","Tracheophyta","Polypodiales","Aspleniaceae","Hymenasplenium","Hymenasplenium triquetrum","Asplenium","triquetrum","SPECIES","SYNONYM","SOUTH_AMERICA","2019-10-02T04:32:13.278+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","Polypodiopsida","BR","Brazil",NA,"2205184","BM001027137","Anon.",NA,NA,"Serra dos Orgaos National Park (Organ Mountains)","1056036995","BOT","d6886d0d-f8f3-4503-ab46-4fb7e6cdc18f","Aspleniaceae","Asplenium triquetrum N.Murak. & R.C.Moran",-22.510275,-42.989594,"WGS84","1979","South America; Brazil; Rio de Janeiro","{\"determinationfiledas\": [\"Yes\", \"No\"], \"collectionkind\": \"Sheet\", \"gbifissue\": [\"GEODETIC_DATUM_ASSUMED_WGS84\"], \"created\": 1308825169000, \"gbifid\": 1056036995, \"determinationnames\": [\"Asplenium triquetrum N.Murak. & R.C.Moran\", \"Asplenium obtusifolium L.\"], \"subdepartment\": \"Ferns\"}","1979","NHMUK:ecatalogue:2205184","NHMUK",1100,"Rio de Janeiro",1943,4,NA,"1943-04-01T00:00:00","Lana Sylvestre","Google Earth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1055788912","Asplenium triquetrum N.Murak. & R.C.Moran","gass84,mdativ,rdativ","7e380070-f762-11e1-a439-00145eb45e9a","19456090-b49a-11d8-abeb-b8a03c50a862","60277b56-f762-11e1-a439-00145eb45e9a","GB","DWC_ARCHIVE","2019-08-27T22:10:31.195+0000","2019-10-02T04:32:24.176+0000",137,"none","PRESERVED_SPECIMEN",4256142,6,7707728,7228684,392,6625,7310868,7784242,7784242,"Hymenasplenium triquetrum (N.Murak. & R.C.Moran) L.Regalado & Prada","Plantae","Tracheophyta","Polypodiales","Aspleniaceae","Hymenasplenium","Hymenasplenium triquetrum","Asplenium","triquetrum","SPECIES","SYNONYM","SOUTH_AMERICA","2019-10-02T04:32:24.176+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","Polypodiopsida","BO","Bolivia, Plurinational State of",NA,"490403","BM000937818","Otto August Buchtien",NA,NA,"Coroico, Nord Yungas","1055788912","BOT","01b8231e-d757-4757-9e1f-8b22d300e664","Aspleniaceae","Asplenium triquetrum N.Murak. & R.C.Moran",-16.194192,-67.728794,"WGS84","625","South America; Bolivia; La Paz","{\"determinationfiledas\": [\"Yes\", \"No\"], \"collectionkind\": \"Sheet\", \"gbifissue\": [\"GEODETIC_DATUM_ASSUMED_WGS84\"], \"created\": 1243001935000, \"associatedmediacount\": 2, \"project\": \"GPI Georeferencing\", \"determinationnames\": [\"Asplenium triquetrum N.Murak. & R.C.Moran\", \"Asplenium repandulum Kunze\"], \"subdepartment\": \"Ferns\", \"gbifid\": 1055788912}","625","NHMUK:ecatalogue:490403","NHMUK",1100,"La Paz",NA,NA,NA,NA,NA,"Google Earth","ISOTYPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1057343454","Asplenium triquetrum N.Murak. & R.C.Moran","gass84,mdativ","7e380070-f762-11e1-a439-00145eb45e9a","19456090-b49a-11d8-abeb-b8a03c50a862","60277b56-f762-11e1-a439-00145eb45e9a","GB","DWC_ARCHIVE","2019-08-27T22:10:31.195+0000","2019-10-02T04:32:21.865+0000",137,"none","PRESERVED_SPECIMEN",4256142,6,7707728,7228684,392,6625,7310868,7784242,7784242,"Hymenasplenium triquetrum (N.Murak. & R.C.Moran) L.Regalado & Prada","Plantae","Tracheophyta","Polypodiales","Aspleniaceae","Hymenasplenium","Hymenasplenium triquetrum","Asplenium","triquetrum","SPECIES","SYNONYM","SOUTH_AMERICA","2019-10-02T04:32:21.865+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","Polypodiopsida","BR","Brazil",NA,"2211037","BM001027145","Jurgens",NA,NA,NA,"1057343454","BOT","a3331382-37f8-4892-b639-dc299561394c","Aspleniaceae","Asplenium triquetrum N.Murak. & R.C.Moran",-29.779958,-53.180947,"WGS84","372","South America; Brazil; Rio Grande do Sul","{\"determinationfiledas\": [\"Yes\", \"No\", \"No\"], \"collectionkind\": \"Sheet\", \"gbifissue\": [\"GEODETIC_DATUM_ASSUMED_WGS84\"], \"created\": 1308922164000, \"exsiccatanumber\": 372, \"gbifid\": 1057343454, \"determinationnames\": [\"Asplenium triquetrum N.Murak. & R.C.Moran\", \"Asplenium repandulum Kunze\", \"Asplenium obtusifolium L.\"], \"exsiccata\": \"Dr. E. Rosenstock, Filices austobrasilienses\", \"subdepartment\": \"Ferns\"}","372","NHMUK:ecatalogue:2211037","NHMUK",120,"Rio Grande do Sul",1907,NA,NA,"1907-01-01T00:00:00","Noriaki Murakami","Google Earth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1321079329","Asplenium triquetrum N.Murak. & R.C.Moran","txmatfuz","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2019-09-09T15:14:12.156+0000","2019-10-02T05:43:35.325+0000",116,"none","PRESERVED_SPECIMEN",4256142,6,7707728,7228684,392,6625,7310868,7784242,7784242,"Hymenasplenium triquetrum (N.Murak. & R.C.Moran) L.Regalado & Prada","Plantae","Tracheophyta","Polypodiales","Aspleniaceae","Hymenasplenium","Hymenasplenium triquetrum","Asplenium","triquetrum","SPECIES","SYNONYM","SOUTH_AMERICA","2019-10-02T05:43:35.325+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","Polypodiopsida","BR","Brazil",NA,"http://n2t.net/ark:/65665/3ab74e214-ab02-4020-939b-08bb205274ec","2543278","-- Reitz & Klein, --","http://biocol.org/urn:lsid:biocol.org:col:34871",NA,"Alto Matador, Rio do Sul, Mata.","1321079329","Botany","http://n2t.net/ark:/65665/3ab74e214-ab02-4020-939b-08bb205274ec","Plantae, Pteridophyte, Polypodiales, Aspleniaceae","Asplenium triquetrum N.Murak. & R.C.Moran",NA,NA,NA,"6932","South America, Brazil, Santa Catarina",NA,NA,NA,"US",500,"Santa Catarina",1958,8,2,"1958-08-02T00:00:00",NA,NA,NA,1,"214","NMNH Extant Biology","PhysicalObject","214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1319836108","Asplenium triquetrum N.Murak. & R.C.Moran","txmatfuz","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2019-09-09T15:14:12.156+0000","2019-10-02T05:44:00.184+0000",116,"none","PRESERVED_SPECIMEN",4256142,6,7707728,7228684,392,6625,7310868,7784242,7784242,"Hymenasplenium triquetrum (N.Murak. & R.C.Moran) L.Regalado & Prada","Plantae","Tracheophyta","Polypodiales","Aspleniaceae","Hymenasplenium","Hymenasplenium triquetrum","Asplenium","triquetrum","SPECIES","SYNONYM","SOUTH_AMERICA","2019-10-02T05:44:00.184+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","Polypodiopsida","BR","Brazil",NA,"http://n2t.net/ark:/65665/3747f4469-e742-41da-8062-93f2ee62dfcd","1280918","P. K. Dusén","http://biocol.org/urn:lsid:biocol.org:col:34871",NA,"Serra do Mar, Desvio Upiranga, in silva prum.","1319836108","Botany","http://n2t.net/ark:/65665/3747f4469-e742-41da-8062-93f2ee62dfcd","Plantae, Pteridophyte, Polypodiales, Aspleniaceae","Asplenium triquetrum N.Murak. & R.C.Moran",NA,NA,NA,"s.n.","South America, Brazil, Paraná",NA,NA,NA,"US",NA,"Paraná",1908,9,19,"1908-09-19T00:00:00",NA,NA,NA,1,"263","NMNH Extant Biology","PhysicalObject","263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1318204176","Asplenium triquetrum N.Murak. & R.C.Moran","txmatfuz","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2019-09-09T15:14:12.156+0000","2019-10-02T05:43:55.977+0000",116,"none","PRESERVED_SPECIMEN",4256142,6,7707728,7228684,392,6625,7310868,7784242,7784242,"Hymenasplenium triquetrum (N.Murak. & R.C.Moran) L.Regalado & Prada","Plantae","Tracheophyta","Polypodiales","Aspleniaceae","Hymenasplenium","Hymenasplenium triquetrum","Asplenium","triquetrum","SPECIES","SYNONYM","SOUTH_AMERICA","2019-10-02T05:43:55.977+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","Polypodiopsida","BR","Brazil",NA,"http://n2t.net/ark:/65665/32c4d6274-ba85-4e37-ac8e-168ffe2e96bc","600540","C. Jürgens","http://biocol.org/urn:lsid:biocol.org:col:34871",NA,"S. Cruz, Serra de Melo","1318204176","Botany","http://n2t.net/ark:/65665/32c4d6274-ba85-4e37-ac8e-168ffe2e96bc","Plantae, Pteridophyte, Polypodiales, Aspleniaceae","Asplenium triquetrum N.Murak. & R.C.Moran",NA,NA,NA,"391","South America, Brazil, Rio Grande do Sul",NA,NA,NA,"US",NA,"Rio Grande do Sul",1901,NA,NA,"1901-01-01T00:00:00",NA,NA,NA,1,NA,"NMNH Extant Biology","PhysicalObject",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
