"idOcc","catalogNumber","recordedBy","occurrenceID","recordNumber","otherCatalogNumbers","individualCount","preparations","occurrenceRemarks"
"idOcc_01","L.3508113","Unreadable","http://data.biodiversitydata.nl/naturalis/specimen/L.3508113",NA,NA,NA,NA,NA
"idOcc_02","BM000865275","Ivan Jimenez","75ecce84-7709-4302-abc7-7cd5f555981e","2502","NHMUK:ecatalogue:561466",NA,NA,NA
"idOcc_03","BM001031979","Maarten J.M. Christenhusz, Samuli Lehtonen, Jefferson Prado & Hanna Tuomisto","131cb9f4-c2d3-4ac9-92f7-0f9c2b9cb39e","4922","NHMUK:ecatalogue:2363120",NA,NA,NA
"idOcc_04","BM001027139","Per Karl Hjalmar Dusén","ef2baa08-ded9-44f4-b749-ca38e442ad69","s.n.","NHMUK:ecatalogue:2205247",NA,NA,NA
"idOcc_05","BM001027137","Anon.","d6886d0d-f8f3-4503-ab46-4fb7e6cdc18f","1979","NHMUK:ecatalogue:2205184",NA,NA,NA
"idOcc_06","BM000937818","Otto August Buchtien","01b8231e-d757-4757-9e1f-8b22d300e664","625","NHMUK:ecatalogue:490403",NA,NA,NA
"idOcc_07","BM001027145","Jurgens","a3331382-37f8-4892-b639-dc299561394c","372","372",NA,NA,NA
"idOcc_08","","","","","",NA,"",""
"idOcc_09","2543278","-- Reitz & Klein, --","http://n2t.net/ark:/65665/3ab74e214-ab02-4020-939b-08bb205274ec","6932",NA,1,NA,NA
"idOcc_10","1280918","P. K. Dusén","http://n2t.net/ark:/65665/3747f4469-e742-41da-8062-93f2ee62dfcd","s.n.",NA,1,NA,NA
"idOcc_11","600540","C. Jürgens","http://n2t.net/ark:/65665/32c4d6274-ba85-4e37-ac8e-168ffe2e96bc","391",NA,1,NA,NA
"idOcc_12","2549163","Bro. A. Sehnem","http://n2t.net/ark:/65665/3c8c6d271-148d-4fa1-ab09-cea370ad18ec","2977",NA,1,NA,NA
"idOcc_13","600629","-. Jurgens","http://n2t.net/ark:/65665/342e1cdce-a2f3-4745-a70b-ff6cbc26b573","s.n.",NA,1,NA,NA
"idOcc_14","2295984","R. Reitz","http://n2t.net/ark:/65665/30a502b23-9bd1-4f92-904b-1d2689660c94","3987",NA,1,NA,NA
"idOcc_15","1096137","O. Buchtien","http://n2t.net/ark:/65665/317a93557-2b73-4651-b28c-c892919ec85f","3348",NA,1,NA,NA
"idOcc_16","532233","-. Mosén","http://n2t.net/ark:/65665/3f2ccf2a7-fe9b-4090-8551-f2bbde801a4c","2111",NA,1,NA,NA
"idOcc_17","990488","A. F. Tryon","28917c5c-4102-4e24-a5df-a03b96f50e63","7399",NA,NA,"sheet",NA
"idOcc_18","990491","F. S. Axelrod","ea01d815-8a9c-41f2-a5a4-798cd79b4d33","2187",NA,NA,"sheet",NA
"idOcc_19","149307","O. Buchtien","2d2c8608-8366-44ad-9352-72b63671b294","625",NA,NA,"sheet",NA
"idOcc_20","901501",NA,"f96b9893-14cd-4aff-a4dd-aa207e75e2bf",NA,NA,NA,"sheet",NA
"idOcc_21","876265","P. E. E. Sintenis","473ee101-63cb-4e99-b8b3-ee6e9b9ce298","6443",NA,NA,"sheet",NA
"idOcc_22","2009712","G. S. Jenman","e879133c-fd13-452f-a4ed-cd3ee0defb93","s.n.",NA,NA,"sheet",NA
"idOcc_23","2009718","A. Duss","25530ef9-a3f4-45f0-9777-b3d3aa3f49c3","4205",NA,NA,"sheet",NA
"idOcc_24","901502","N. L. Britton","8182a3db-3486-456d-ad80-a2cf7b5b0a11","6101",NA,NA,"sheet",NA
"idOcc_25","2009716","F. E. Lloyd","f58cf73d-c434-48ed-9e39-7f6562c8d8e9","698",NA,NA,"sheet",NA
"idOcc_26","2009720","A. Duss","88c4444e-95ff-4c08-af87-3184a7977490","1636b",NA,NA,"sheet",NA
"idOcc_27","2009715","W. H. Hodge","af58c12c-7718-4bcb-b18e-55676fa86d5d","2410",NA,NA,"sheet",NA
"idOcc_28","990490","F. S. Axelrod","d7f4b1cb-5d67-48f2-aa52-653d798a942c","4850",NA,NA,"sheet",NA
"idOcc_29","18507","Pereira, F","18362","003",NA,NA,NA,NA
"idOcc_30","24031","Michelon, C","23958","1253",NA,NA,NA,""
"idOcc_31","9872","M. Verdi; D. H. Klettenberg & G. Klemz","BRA:UNESC:CRI:0000009872",NA,NA,NA,NA,"Floresta Ombrófila Densa"
"idOcc_32","9882","A. Stival-Santos; S. Silveira & D. Meyer","BRA:UNESC:CRI:0000009882",NA,NA,NA,NA,"Floresta Ombrófila Densa"
"idOcc_33","10922","San Zatta Custódio","BRA:UNESC:CRI:0000010922",NA,NA,NA,NA,NA
"idOcc_34","10990","San Zatta Custódio","BRA:UNESC:CRI:0000010990",NA,NA,NA,NA,"Coleta em rocha na borda de um córrego"
"idOcc_35","11489","A. Korte","BRA:UNIVILLE:JOI:0000011489","4484",NA,NA,NA,NA
"idOcc_36","RB00642812","Campos Porto","urn:catalog:JBRJ:RB:642812","2587","RB 30685",NA,NA,NA
"idOcc_37","RB00712265","R.W. Windisch; Dr. A. Ghillany","urn:catalog:JBRJ:RB:712265","580","RB 547769",NA,NA,NA
"idOcc_38","RB00581883","Damasceno, E. R.; Silva, W.","urn:catalog:JBRJ:RB:581883","305","RB 487815",NA,NA,NA
